Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
Snowbird,https://static.wikia.nocookie.net/superheroes/images/f/f7/Snowbird.jpg/revision/latest?cb=20170703174550,,"Uncanny X-Men #120 (April, 1979)",John Byrne,"Alpha Flight, The Flight, Royal Canadian Mounted Police, God Squad","Anne McKenzie, Anne McKenzie-Thompson, Ice Queen","Ottawa, Ontario",Fighting Experience,,
Sobek,https://static.wikia.nocookie.net/superheroes/images/5/5c/Sobek.jpg/revision/latest?cb=20200109005847,,,,,,,,,
Songbird,https://static.wikia.nocookie.net/superheroes/images/8/86/Songbird.jpg/revision/latest?cb=20240325153649,,"Marvel Two-In-One #54 (May, 1979)","Mark Gruenwald, Ralph Macchio, John Byrne","Avengers, Thunderbolts",Screaming Mimi,New Jersey,"Sonic scream, Flight, Sonic energy constructs",Fighting Experience,
Space Ghost,https://static.wikia.nocookie.net/superheroes/images/4/49/Space_Ghost.jpg/revision/latest/scale-to-width-down/250?cb=20140111031255,,"Space Ghost, ""The Heat Thing"" (September 10, 1966)",,,,"Nomadic (original series), Ghost Planet (Coast to Coast)","Flight, Super strength, stamina, durability,  endurance and agility, Teleportation, Invisibility (from his belt), Energy Beam (from power bands)",Hosting Expertise (Coast to Coast),"Power Bands, Invisibility Belt"
Spawn,https://static.wikia.nocookie.net/superheroes/images/d/d3/Spawn.jpg/revision/latest/scale-to-width-down/250?cb=20130322040132,,"Albert Francis ""Al"" Simmons",,,"Hellspawn, The One",New York City,"Countless Demonic Powers (in main article, coming soon)","Skilled Martial Artist, Trained Soldier and Assassin",
Speedball,https://static.wikia.nocookie.net/superheroes/images/f/fd/Speedball.jpg/revision/latest/scale-to-width-down/250?cb=20240401032615,,"The Amazing Spider-Man Annual #22 (January, 1988) [As Speedball], Civil War: Front Line #10 (January, 2007) [as Penance]","Steve Ditko, Tom DeFalco",,"Penance, Masked Marvel",New York City,Force field generation,Fighting Experience,
Spider-Woman,https://static.wikia.nocookie.net/superheroes/images/6/63/Spider-Woman.jpg/revision/latest/scale-to-width-down/250?cb=20230418171908,,"Marvel Spotlight #32 (February, 1977)","Archie Goodwin, Marie Severin","Avengers, HYDRA, Lady Liberators, New Avengers, S.H.I.E.L.D., S.W.O.R.D., Secret Avengers","Arachne, Ariadne Hyde, Hunter",New York City,"Superhuman strength, speed, durabilty, reflexes, and senses, Flight, Pheromone manipulation, Bio-electric energy projection, Wallcrawling",Master spy,
Star-Lord,https://static.wikia.nocookie.net/superheroes/images/b/ba/Star-Lord.jpg/revision/latest/scale-to-width-down/250?cb=20240331220501,,Marvel Preview #4 (January 1976),"Steve Englehart, Steve Gan","Guardians of the Galaxy, Ravagers, United Front, Shi'ar Imperial Guard, Ship, Avengers",,Knowhere,"Enhanced durability, Enhanced reflexes, Increased longevity, Healing factor, Levitation, Light projection, Psychic awareness","Skilled marksman, skilled combatant",
Starfire,https://static.wikia.nocookie.net/superheroes/images/3/37/Starfire.jpg/revision/latest/scale-to-width-down/250?cb=20240220193345,,"DC Comics Presents #26 (October, 1980)","Marv Wolfman, George Pérez","Teen Titans, Titans, Justice League of America, Outsiders",,Mobile,"Super strength, Flight, Solar energy blast, Language absorption",Expert hand-to-hand combatant,
Static,https://static.wikia.nocookie.net/superheroes/images/a/a7/Static.jpg/revision/latest/scale-to-width-down/250?cb=20101108015840,,,,,,,Electrical control,,
