Character,Image_URL
Darkman,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Darkman_film_poster.jpg/220px-Darkman_film_poster.jpg
Darkseid,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Justice_League_Odyssey_Darkseid.jpeg/220px-Justice_League_Odyssey_Darkseid.jpeg
Darkstar,https://static.wikia.nocookie.net/marvel_dc/images/6/68/Darkstars_004.jpg/revision/latest/scale-to-width-down/331?cb=20120811125216
Darth Maul,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/MaulStarWars.jpg/220px-MaulStarWars.jpg
Darth Vader,https://upload.wikimedia.org/wikipedia/en/f/f7/Darth_Vader.png
Dazzler,https://static.wikia.nocookie.net/marvel_dc/images/3/3d/Dazzler.png/revision/latest?cb=20110216151250
Deadman,https://static.wikia.nocookie.net/marvel_dc/images/0/0f/Knight_Terrors_Night%27s_End_Vol_1_1_Variant_1_Textless.jpg/revision/latest/scale-to-width-down/338?cb=20230917010628
Deadpool,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Deadpool.png/220px-Deadpool.png
Deadshot,https://upload.wikimedia.org/wikipedia/en/b/b9/Deadshot_%28Floyd_Lawton_circa_2020%29.png
Deathlok,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/AstonishingTales25.jpg/220px-AstonishingTales25.jpg
Deathstroke,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Deathstroke_%28DC_Comics%29.webp/220px-Deathstroke_%28DC_Comics%29.webp.png
Dementor,https://static.wikia.nocookie.net/marvel_dc/images/9/9e/Dementor_01.jpg/revision/latest/scale-to-width-down/350?cb=20090824004037
Demogoblin,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Demogoblin.jpg/220px-Demogoblin.jpg
Destroyer,https://static.wikia.nocookie.net/marvel_dc/images/2/21/Destroyer_001.jpg/revision/latest/scale-to-width-down/185?cb=20110324111452
Doc Samson,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Docsamson.jpg/220px-Docsamson.jpg
Doctor Doom,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Doctor_Doom_%282018%29.jpg/220px-Doctor_Doom_%282018%29.jpg
Doctor Fate,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Doctor_Fate_002.jpg/220px-Doctor_Fate_002.jpg
Doctor Octopus,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Dr._Octopus_Marvel.jpg/220px-Dr._Octopus_Marvel.jpg
Doctor Poison,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Dr_Poison_by_Clark.jpg/220px-Dr_Poison_by_Clark.jpg
