Name,Creator,Rating,English_Link,English_Release_Date,Status,Image_URL
A Good Day to be a Dog,Lee Hey,9.84 / 10,https://www.webtoons.com/en/drama/a-good-day-tobe-a-dog/list?title_no=1390,"May 16, 2018",Complete,https://static.wikia.nocookie.net/webtoon/images/1/14/A_Good_Day_to_be_a_Dog.jpg/revision/latest/scale-to-width-down/350?cb=20201105055629
SAVE ME,Big Hit Ent.LICO,9.87 / 10,https://www.webtoons.com/en/drama/bts-save-me/list?title_no=1514,"January 16, 2019",Complete,https://static.wikia.nocookie.net/webtoon/images/b/b8/SAVE_ME.png/revision/latest/scale-to-width-down/350?cb=20201002232732
This Magical Moment,Na Yoonhee,9.46 / 10,https://www.webtoons.com/en/supernatural/this-magical-moment/list?title_no=2563,"May 29, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/3/30/This_Magical_Moment.png/revision/latest/scale-to-width-down/350?cb=20210531084452
Your Letter,Hyeon A Cho,9.93 / 10,https://www.webtoons.com/en/drama/your-letter/list?title_no=1540,"February 26, 2019",Complete,https://static.wikia.nocookie.net/webtoon/images/1/11/Your_Letter.jpg/revision/latest/scale-to-width-down/350?cb=20190418215943
LUFF,Arechan,9.37 / 10,https://www.webtoons.com/en/romance/luff/list?title_no=1489,"December 10, 2018",Complete,https://static.wikia.nocookie.net/webtoon/images/5/5f/LUFF.png/revision/latest/scale-to-width-down/350?cb=20210103012742
Days of Hana,Seokwoo,9.77 / 10,https://www.webtoons.com/en/drama/days-of-hana/list?title_no=1246,"December 4, 2017",Complete,https://static.wikia.nocookie.net/webtoon/images/a/a7/Days_of_Hana_Icon.png/revision/latest?cb=20180716064533
Where Tangents Meet,instantmiso,9.73 / 10,https://www.webtoons.com/en/romance/where-tangents-meet/list?title_no=421,"April 9, 2015",Complete,https://static.wikia.nocookie.net/webtoon/images/6/67/Where_Tangents_Meet.jpg/revision/latest/scale-to-width-down/350?cb=20180520161508
My Dear Cold-Blooded King,lifelight,9.73 / 10,https://www.webtoons.com/en/romance/my-dear-cold-blooded-king/list?title_no=961,"March 12, 2017",Complete,https://static.wikia.nocookie.net/webtoon/images/1/1e/My_Dear_Cold-Blooded_King.png/revision/latest?cb=20210102054838
Death's Game,Lee Wonsik / GGULCHAN,9.75 / 10,https://www.webtoons.com/en/drama/deaths-game/list?title_no=1265,"December 29, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/f/f3/Death%27s_Game.png/revision/latest/scale-to-width-down/350?cb=20210113033411
The Golden Spoon,HD3,9.31 / 10,https://www.webtoons.com/en/drama/the-golden-spoon/list?title_no=2565,"July 18, 2021",Complete,https://static.wikia.nocookie.net/webtoon/images/7/78/The_Golden_Spoon.png/revision/latest/scale-to-width-down/350?cb=20210722090527
